trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT ZIMMER#SAUBERKEIT ZIMMER#HAUPT HOTEL#PREIS LAGE#HAUPT ESSEN&TRINKEN#HAUPT ESSEN&TRINKEN#RUHE ZIMMER#RUHE HOTEL#STYLE HOTEL#SAUBERKEIT SERVICE#HAUPT ESSEN&TRINKEN#PREIS ZIMMER#STYLE LAGE#PREIS LAGE#RUHE ESSEN&TRINKEN#STYLE ZIMMER#PREIS SERVICE#SAUBERKEIT]
0	2.49E-05	2	8	7.374.321.987.628.930	0.100922596	0.031382217	0.625999972	0.760449785	0.422053538	0.714521597	[0.7174451441114644, 0.8675717643108948, 0.0, 0.7905962812620557, 0.8982798579639898, 0.8684215082207312, 0.0, 0.6275257313109426, 0.5044028062425181, 0.45263209496658974, 0.9271012230412139, 0.05263157894736842, 0.7599209098232087, 0.0, 0.13043478260869565, 0.0, 0.0, 0.0]
1	2.06E-05	4	4	2.428.643.349.647.520	0.082384937	0.028574518	0.68429452	0.797190676	0.542341104	0.778662138	[0.742144247700896, 0.8588479295521341, 0.3172645829013754, 0.8134938561294692, 0.9013046111069949, 0.8878395812413711, 0.0, 0.7536721356027298, 0.6354650131346988, 0.6974206349206349, 0.9236351263393124, 0.5633101851851853, 0.8056207518852507, 0.0, 0.661904761904762, 0.2002164502164502, 0.0, 0.0]
2	4.39E-05	3	4	18.514.491.741.657.200	0.226411261	0.073016097	0	0	0	0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	3.02E-05	2	16	5.185.403.044.223.780	0.1147567	0.03381096	0.580869286	0.731864406	0.364051691	0.674912715	[0.7041061739315426, 0.816583429477555, 0.0, 0.7037900945807298, 0.888218253745451, 0.862810529537659, 0.0, 0.4207015573525007, 0.39258467662608815, 0.10411764705882354, 0.9272955422305645, 0.0, 0.7327225265743353, 0.0, 0.0, 0.0, 0.0, 0.0]
4	2.17E-05	2	4	12.685.412.859.916.600	0.091753993	0.030167692	0.64692113	0.774879101	0.466121141	0.7372232	[0.7301403023345912, 0.8636438824189415, 0.03821811100292112, 0.8075684834099981, 0.8989008393374768, 0.8747530368440473, 0.0, 0.6710451529459228, 0.5963824540186073, 0.5817178032418479, 0.9298127493428565, 0.2864285714285715, 0.7622813943584529, 0.0, 0.3492877492877493, 0.0, 0.0, 0.0]
5	3.41E-05	2	8	7.666.369.254.589.080	0.095628928	0.031395418	0.631170029	0.761517595	0.427504771	0.716696355	[0.7238016963135234, 0.8636011290590384, 0.0, 0.792499649476759, 0.8943687390239902, 0.8663764197119412, 0.0, 0.6651503974328238, 0.5269103508018063, 0.53438013136289, 0.9320652485956795, 0.027777777777777776, 0.7347551260038315, 0.0, 0.13339920948616601, 0.0, 0.0, 0.0]
6	3.02E-05	2	4	12.739.022.841.453.500	0.123344986	0.040881568	0.49075844	0.584445483	0.36471301	0.559624222	[0.5464981696813093, 0.6400313611023004, 0.0973092998955068, 0.6137031675002194, 0.6781636840106933, 0.6422902149480082, 0.0, 0.5488174608546545, 0.4359443010920844, 0.4927055702917772, 0.6984359169199594, 0.25523809523809526, 0.5747878397835857, 0.0, 0.34090909090909094, 0.0, 0.0, 0.0]
7	2.56E-05	3	16	7.439.969.699.382.780	0.104296887	0.03129099	0.625290885	0.760315962	0.410409548	0.712895181	[0.7215503629336351, 0.8419626001326597, 0.0, 0.7729836777099015, 0.9004737013288727, 0.8744608762395103, 0.0, 0.6403524826857493, 0.5282248014442963, 0.2999509803921569, 0.931760427939288, 0.0, 0.7566043383240946, 0.0, 0.11904761904761905, 0.0, 0.0, 0.0]
8	2.50E-05	4	8	14.507.584.965.229.000	0.084092272	0.028326097	0.675837863	0.796302722	0.536134628	0.77519274	[0.7272222977761351, 0.8659633675558543, 0.3027522672516231, 0.8187236374736375, 0.9113021592774679, 0.8766694520036925, 0.0, 0.7344574460865441, 0.6388459010801641, 0.7370586341052323, 0.9316872168883132, 0.6017299627213419, 0.7888690098783852, 0.0, 0.6114630272035858, 0.10367892976588629, 0.0, 0.0]
9	3.80E-05	4	8	14.524.973.657.131.100	0.085049853	0.029592652	0.667847373	0.786594192	0.526969435	0.764344363	[0.7238788048925919, 0.8624557668774916, 0.26464230552033896, 0.7907119139874985, 0.899421864565456, 0.8724747916088473, 0.0, 0.7283300765347663, 0.6155287930089384, 0.7181848852901485, 0.9285604805458695, 0.5971227048813256, 0.7723404579222994, 0.0, 0.6067245212038304, 0.10507246376811595, 0.0, 0.0]
10	4.98E-05	4	8	14.523.786.776.065.800	0.191036114	0.061790115	0.16987782	0.199889868	0.137090421	0.195610746	[0.17128027681660896, 0.22945205479452058, 0.08415841584158416, 0.20992366412213742, 0.22821100917431192, 0.21745562130177515, 0.0, 0.1875, 0.15, 0.19999999999999998, 0.23312236286919832, 0.17241379310344826, 0.20348837209302328, 0.0, 0.15789473684210525, 0.022727272727272728, 0.0, 0.0]
11	2.06E-05	4	4	24.579.844.024.181.300	0.117402062	0.039487143	0.516532026	0.600230571	0.41536072	0.588878661	[0.5541940698190697, 0.6687980133506806, 0.2563436383727803, 0.6141140236700338, 0.6848487936760532, 0.660826700681522, 0.0, 0.5402411490247907, 0.5018735810347991, 0.5731090245174751, 0.7010385117904411, 0.4582534522519519, 0.5818440853125875, 0.0, 0.46708362696734795, 0.21392428785607193, 0.0, 0.0]
12	2.02E-05	4	4	24.497.435.524.463.600	0.117664667	0.039810803	0.510261204	0.595654201	0.40825512	0.584010296	[0.541076188704978, 0.6431471436189714, 0.2740275647888275, 0.6044899425287356, 0.6781855167030504, 0.6656307980743595, 0.0, 0.5683506410039576, 0.4718969859902761, 0.5550778354336545, 0.6943655685757901, 0.4308130081300813, 0.5944990450274302, 0.0, 0.45014880952380953, 0.17688311688311686, 0.0, 0.0]
13	2.39E-05	3	8	1.089.325.008.392.330	0.089307887	0.029292606	0.655855007	0.783792834	0.478808225	0.74823292	[0.7334931140059837, 0.8717779665057512, 0.04189001389716101, 0.8081250301064564, 0.9060242390112605, 0.8735147045552292, 0.0, 0.7037296462400209, 0.6320873806217651, 0.6225547319413927, 0.9299197204549183, 0.17853573213393303, 0.7802435288055082, 0.0, 0.5366522366522366, 0.0, 0.0, 0.0]
14	2.63E-05	4	16	938.288.003.206.253	0.092286553	0.029436354	0.652560891	0.781160303	0.476461123	0.746354552	[0.7283823930415868, 0.8615988634236809, 0.09061899517540424, 0.8081236950095095, 0.9006049529808897, 0.8732954328908086, 0.0, 0.6696531857982213, 0.627596521821334, 0.6186208445642408, 0.9295083631107531, 0.23731323192892717, 0.7807191923329708, 0.0, 0.4502645502645502, 0.0, 0.0, 0.0]
15	2.27E-05	4	8	14.278.831.341.266.600	0.085531816	0.028378495	0.677716236	0.795236319	0.527875328	0.773304407	[0.7412629006701303, 0.8743057151507856, 0.27499386637516304, 0.8141921024608192, 0.9089512022960453, 0.8782890752964316, 0.0, 0.7087544073831664, 0.6544858058727275, 0.7342436974789917, 0.9279809808253505, 0.5608974358974359, 0.7862086603267161, 0.0, 0.5709021767637031, 0.06628787878787878, 0.0, 0.0]
16	2.32E-05	3	8	10.869.281.685.352.300	0.093462601	0.030128077	0.644103792	0.774514795	0.458362192	0.734197805	[0.7273479175580102, 0.8606324528171999, 0.0, 0.7917632651580521, 0.8958523581872095, 0.874335256828685, 0.0, 0.6948756892121902, 0.5910630005089234, 0.49715758254521325, 0.9366700873235211, 0.19309947299077734, 0.7633394472190255, 0.0, 0.4243829175917461, 0.0, 0.0, 0.0]
17	2.82E-05	4	8	1.429.058.893.442.150	0.082774587	0.028378569	0.679126674	0.795746795	0.539248474	0.775845726	[0.722925227904564, 0.8684324459779936, 0.306447305331799, 0.8137693282395884, 0.9086878673832219, 0.8841825594455219, 0.0, 0.7238413990905059, 0.6385606804777075, 0.7357718185935174, 0.9317647056639395, 0.5500273672687466, 0.7885605663293456, 0.0, 0.638961038961039, 0.19454022988505748, 0.0, 0.0]
18	2.28E-05	3	8	1.084.746.815.443.030	0.090626284	0.029475441	0.650917923	0.781771569	0.477297993	0.74479956	[0.7305564111455347, 0.8576804759205372, 0.014835164835164835, 0.8162391516128977, 0.8977438561017547, 0.8716654211637489, 0.0, 0.7192265149819972, 0.617325506862593, 0.6058941058941059, 0.9333291197145935, 0.21434997750787227, 0.7836211404875357, 0.0, 0.5288970288970288, 0.0, 0.0, 0.0]
19	2.66E-05	4	8	1.428.650.527.715.680	0.083727168	0.028796317	0.67489735	0.792678885	0.526381617	0.770693754	[0.7302087574531998, 0.8664530694077739, 0.27636875900437474, 0.8087437091123099, 0.9073853804300807, 0.8857429611452957, 0.0, 0.7289050443843529, 0.6356003285898325, 0.7319816333900839, 0.9321142693832397, 0.5376577445542963, 0.7782055267888093, 0.0, 0.5564759454949945, 0.09902597402597402, 0.0, 0.0]
