trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL:neutral ZIMMER:positiv ZIMMER:negativ HOTEL:positiv LAGE:neutral ESSEN&TRINKEN:neutral ESSEN&TRINKEN:negativ HOTEL:negativ ESSEN&TRINKEN:positiv LAGE:negativ SERVICE:negativ ZIMMER:neutral SERVICE:positiv LAGE:positiv SERVICE:neutral]
0	2.54E-05	4	8	3.356.945.593.357.080	0.129138699	0.044460192	0.522566338	0.688735014	0.310395114	0.614413606	[0.0, 0.8244301092544987, 0.6097616811853915, 0.7411999601196924, 0.0, 0.0, 0.0, 0.0, 0.8230973082341009, 0.0, 0.0, 0.0, 0.873841570941111, 0.7835960760100966, 0.0]
1	3.90E-05	3	4	4.403.296.353.816.980	0.113868745	0.041498177	0.565113984	0.719366157	0.374179675	0.656055038	[0.05083333333333333, 0.8394951594218474, 0.6646462555329429, 0.7701165121784745, 0.21010031919744643, 0.017241379310344824, 0.1237037037037037, 0.0884478751526194, 0.8398084074408443, 0.0, 0.3009120721459315, 0.0, 0.892170223740076, 0.8152198839776083, 0.0]
2	2.42E-05	4	8	32.828.383.779.525.700	0.132325444	0.045086906	0.516454	0.683526602	0.306596238	0.609024239	[0.0, 0.818323991942744, 0.568149698713723, 0.7362713965765477, 0.0, 0.0, 0.0, 0.0, 0.8180015835159609, 0.0, 0.0, 0.0, 0.8707394132153458, 0.7874574848114937, 0.0]
3	2.38E-05	2	4	29.836.744.356.155.300	0.14644232	0.048064423	0.474846423	0.651333011	0.289837494	0.579914953	[0.0, 0.8025874371718205, 0.46747754478292525, 0.6930933253074814, 0.0, 0.0, 0.0, 0.0, 0.7918742314207678, 0.0, 0.0, 0.0, 0.8548514163900187, 0.7376784577008356, 0.0]
4	2.77E-05	4	4	5.815.905.497.074.120	0.115744	0.042328717	0.556417723	0.713313374	0.365626438	0.649914608	[0.09082482993197279, 0.832148237662683, 0.6652725770288699, 0.7643979054763289, 0.23820162107396145, 0.0, 0.05077658303464755, 0.09696969696969698, 0.842806669144864, 0.0, 0.21889551889551892, 0.0, 0.8872389305278898, 0.7968640057936686, 0.0]
5	2.74E-05	2	8	1.720.242.142.677.300	0.172709893	0.054615372	0.358717746	0.560002047	0.237818419	0.486927222	[0.0, 0.7640734378429064, 0.10887646855211452, 0.46668027253456734, 0.0, 0.0, 0.0, 0.0, 0.7202717832374206, 0.0, 0.0, 0.0, 0.8356856569126135, 0.6716886632348454, 0.0]
6	4.77E-05	3	4	44.060.546.946.525.500	0.111524327	0.040589376	0.578043106	0.728769168	0.42714011	0.678004886	[0.165254990885243, 0.8365275735613378, 0.6749848445901078, 0.7697461709364964, 0.3189525368248773, 0.16236559139784945, 0.24478991596638655, 0.15700092257469303, 0.8454289111420357, 0.049999999999999996, 0.4275641025641026, 0.04102167182662539, 0.8963327175983269, 0.8171316982345399, 0.0]
7	3.36E-05	2	8	17.183.598.589.897.100	0.157547493	0.050791269	0.437937432	0.619314767	0.269952039	0.548505282	[0.0, 0.7804088450795627, 0.30380161148280993, 0.654978886059156, 0.0, 0.0, 0.0, 0.0, 0.7679701734494779, 0.0, 0.0, 0.0, 0.8397614405625979, 0.7023596230185637, 0.0]
8	2.66E-05	2	4	300.058.869.600.296	0.141185429	0.047092685	0.487777755	0.661963765	0.295842698	0.590089581	[0.0, 0.8122677068947366, 0.5095172040964868, 0.7072941445420179, 0.0, 0.0, 0.0, 0.0, 0.7987646012594338, 0.0, 0.0, 0.0, 0.8611103705238825, 0.7486864486986069, 0.0]
9	3.35E-05	2	8	1.719.898.943.901.060	0.158902004	0.050650335	0.433002559	0.617703005	0.268747892	0.546520453	[0.0, 0.7832566425743855, 0.28858535670401436, 0.6444806975453582, 0.0, 0.0, 0.0, 0.0, 0.7632001333311854, 0.0, 0.0, 0.0, 0.8460432456361954, 0.7056523099733192, 0.0]
