trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL:neutral ZIMMER:positiv ZIMMER:negativ HOTEL:positiv LAGE:neutral ESSEN&TRINKEN:neutral ESSEN&TRINKEN:negativ HOTEL:negativ ESSEN&TRINKEN:positiv LAGE:negativ SERVICE:negativ ZIMMER:neutral SERVICE:positiv LAGE:positiv SERVICE:neutral]
10	5.00E-05	3	16	15.637.851.071.357.700	0.139340904	0.046356101	0.494359576	0.667536839	0.29716188	0.594415182	[0.0, 0.8143571963753151, 0.4833966316095902, 0.7144122145744565, 0.0, 0.0, 0.0, 0.0, 0.8070867059754876, 0.0, 0.0, 0.0, 0.8722679760196296, 0.7659074786187645, 0.0]
11	4.47E-05	3	4	4.402.442.035.675.040	0.111265088	0.040417218	0.57686542	0.728867693	0.418662805	0.675435191	[0.12895927601809953, 0.8399110020282554, 0.67536094079256, 0.7725890956661366, 0.28988341868903933, 0.12661637931034483, 0.24800925925925926, 0.1528774643182757, 0.8478352608332718, 0.06331168831168832, 0.404832499189576, 0.014705882352941178, 0.8951495525032604, 0.8199003539006059, 0.0]
12	4.98E-05	3	4	4.397.288.672.924.040	0.110232046	0.039539568	0.588856018	0.736816071	0.454560109	0.691568167	[0.23279352226720645, 0.843247009865002, 0.6810050393583948, 0.7753165054991222, 0.31102169888934594, 0.18532850052246605, 0.2896216235032024, 0.20013663211038407, 0.849560669863723, 0.16726190476190478, 0.4802236770321877, 0.08226817042606517, 0.8978095004673369, 0.8228071855465262, 0.0]
13	4.27E-05	3	16	15.628.316.164.016.700	0.146263793	0.048095633	0.474378709	0.649671256	0.285916934	0.576556346	[0.0, 0.8095016092705192, 0.39229566069128385, 0.6936899027912964, 0.0, 0.0, 0.0, 0.0, 0.7956035026037348, 0.0, 0.0, 0.0, 0.8583989291691976, 0.7392644022062118, 0.0]
14	4.25E-05	3	4	44.108.368.945.121.700	0.111914271	0.04069932	0.571929441	0.725734095	0.404330694	0.669032649	[0.08906967042136003, 0.8451983913481961, 0.6803226808221187, 0.7690407231735993, 0.2478759092569834, 0.12661637931034483, 0.20941798941798942, 0.13671415188403674, 0.8502277915406986, 0.03398617511520737, 0.37159491507317594, 0.0, 0.8935122049659014, 0.8113834294913329, 0.0]
15	3.87E-05	3	4	4.404.808.118.343.350	0.11329354	0.041357288	0.56158778	0.719565592	0.384181507	0.658465443	[0.03125, 0.839803503566941, 0.6626993191270527, 0.7687519983632937, 0.20877896613190727, 0.08866995073891625, 0.1705787037037037, 0.10529423633860324, 0.8474264705882354, 0.0, 0.34025711396793296, 0.0, 0.8900637194300004, 0.8091486240952219, 0.0]
16	2.13E-05	4	4	5.834.157.626.628.870	0.120132338	0.043269023	0.540669716	0.702330059	0.321100924	0.627493586	[0.0, 0.8277399348972885, 0.6585459229200437, 0.7655674721069607, 0.012820512820512818, 0.0, 0.0, 0.0, 0.8391078012823582, 0.0, 0.045008912655971484, 0.0, 0.8753472398454736, 0.7923760681011336, 0.0]
17	4.97E-05	3	16	1.562.352.237.701.410	0.139238674	0.046685048	0.49553483	0.666608855	0.295714749	0.591934747	[0.0, 0.8130524994664432, 0.46444014527687233, 0.7044088784713869, 0.0, 0.0, 0.0, 0.0, 0.8115835677892311, 0.0, 0.0, 0.0, 0.8740822223793304, 0.7681539262864336, 0.0]
18	4.49E-05	3	4	44.047.752.380.371.000	0.111269109	0.040213598	0.579685853	0.730271701	0.423572821	0.677791143	[0.14726503809070798, 0.8409915772847729, 0.6754800069460335, 0.7721027197605609, 0.30472881956752923, 0.12661637931034483, 0.24800925925925926, 0.16094198044730795, 0.8491007681007362, 0.06331168831168832, 0.434863156937625, 0.014705882352941178, 0.8958279562223661, 0.8196470858543283, 0.0]
19	3.97E-05	4	4	5.844.077.346.324.920	0.11103653	0.039477177	0.602251528	0.740932377	0.489836623	0.705139451	[0.3507714037375054, 0.8373660594782547, 0.6770819485982728, 0.7747287662039212, 0.4340950042396835, 0.1845220588235294, 0.36071428571428565, 0.26560731021871126, 0.855644111963315, 0.2000548245614035, 0.4432632908196504, 0.2536464322459602, 0.8902491776783078, 0.8198046671195631, 0.0]
