trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT ZIMMER#SAUBERKEIT ZIMMER#HAUPT HOTEL#PREIS LAGE#HAUPT ESSEN&TRINKEN#HAUPT ESSEN&TRINKEN#RUHE ZIMMER#RUHE HOTEL#STYLE HOTEL#SAUBERKEIT SERVICE#HAUPT ESSEN&TRINKEN#PREIS ZIMMER#STYLE LAGE#PREIS LAGE#RUHE ESSEN&TRINKEN#STYLE ZIMMER#PREIS SERVICE#SAUBERKEIT]
0	2.38E-05	2	4	3.100.965.573.787.680	0.127570037	0.040837336	0.481667848	0.653352027	0.282971158	0.580989406	[0.621433324782607, 0.6546009385103821, 0.0, 0.5414746543778801, 0.8516641807225936, 0.8180515496660014, 0.0, 0.0, 0.05693485604664678, 0.0, 0.8796088215211082, 0.0, 0.6697125228401768, 0.0, 0.0, 0.0, 0.0, 0.0]
1	2.58E-05	2	4	3.005.693.345.069.880	0.123846708	0.039962188	0.498594867	0.664610441	0.293886123	0.594718683	[0.6471107021147875, 0.7149584657766477, 0.0, 0.5903546079767297, 0.8533465010518884, 0.8196966894495998, 0.0, 0.0, 0.10494397224946424, 0.0, 0.88059541693128, 0.0, 0.6789438587883586, 0.0, 0.0, 0.0, 0.0, 0.0]
2	2.28E-05	4	8	32.972.652.864.456.100	0.114246583	0.037781351	0.533620623	0.692003105	0.318692684	0.626046976	[0.6611513932934452, 0.770125310875051, 0.0, 0.6732030002083478, 0.856273058638172, 0.8404054932164737, 0.0, 0.0, 0.25804816772224126, 0.06585677749360615, 0.8966311951159348, 0.0, 0.7147739237251025, 0.0, 0.0, 0.0, 0.0, 0.0]
3	3.00E-05	2	16	10.974.215.292.930.600	0.22427202	0.071580215	0.023731203	0.037958115	0.010380423	0.029400798	[0.0, 0.0, 0.0, 0.0, 0.15325077399380804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03359683794466403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	2.18E-05	4	8	3.294.624.557.495.110	0.116149114	0.038173176	0.524923035	0.687076162	0.31507933	0.619990633	[0.6558975497432651, 0.7682076689605339, 0.0, 0.6701139046478028, 0.8502216201874075, 0.8374482250606687, 0.0, 0.0, 0.21923946784922396, 0.06585677749360615, 0.8950142903894927, 0.0, 0.7094284341488888, 0.0, 0.0, 0.0, 0.0, 0.0]
5	2.54E-05	2	16	11.012.133.955.955.500	0.232369982	0.072768081	0.003994361	0.006666667	0.00222691	0.006215076	[0.0, 0.0, 0.0, 0.0, 0.04008438818565401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	2.16E-05	2	8	17.265.817.737.579.300	0.17794377	0.057475005	0.210160278	0.38329414	0.120690406	0.312760644	[0.0, 0.0, 0.0, 0.0, 0.7725705287086699, 0.2826704271820015, 0.0, 0.0, 0.0, 0.0, 0.6754029236905416, 0.0, 0.44178342491343614, 0.0, 0.0, 0.0, 0.0, 0.0]
7	2.97E-05	2	16	11.010.414.147.377.000	0.231776141	0.073016097	0	0	0	0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8	3.07E-05	4	16	20.431.553.316.116.300	0.12964274	0.040850193	0.472033506	0.651398253	0.275342434	0.575200734	[0.620066866258249, 0.6275344383119532, 0.0, 0.4302611069408382, 0.8530432224621405, 0.8211092327961991, 0.0, 0.0, 0.036001709674276045, 0.0, 0.8778298619020289, 0.0, 0.690317374270741, 0.0, 0.0, 0.0, 0.0, 0.0]
9	2.48E-05	4	8	3.293.177.800.178.520	0.110416315	0.037206802	0.54772323	0.700767459	0.333848283	0.639859674	[0.6671437974574902, 0.7758101343101343, 0.0, 0.7017805082480439, 0.8604178051502678, 0.8403508684210782, 0.0, 0.010204081632653062, 0.35003349165753256, 0.18871668563439334, 0.8963717669852093, 0.0, 0.7184399481669073, 0.0, 0.0, 0.0, 0.0, 0.0]
10	4.14E-05	3	8	25.096.908.712.387.000	0.104496254	0.036318601	0.568644167	0.713113121	0.355237316	0.65941747	[0.6812381301824262, 0.7994611049810844, 0.0, 0.7276079765810191, 0.8681635019959003, 0.8463541883720607, 0.0, 0.23778307461095305, 0.42956347263169703, 0.19291666666666668, 0.8974910359532505, 0.0, 0.7136925337924266, 0.0, 0.0, 0.0, 0.0, 0.0]
11	4.32E-05	3	8	25.108.027.243.614.100	0.103460884	0.036344573	0.571231627	0.714616851	0.354106844	0.661209959	[0.6791789446616445, 0.7987850188050704, 0.0, 0.7358720632306278, 0.8652209059521191, 0.8459703909327281, 0.0, 0.2829801327326579, 0.4645916865451962, 0.08712121212121213, 0.9032226739011923, 0.0, 0.7109801566884282, 0.0, 0.0, 0.0, 0.0, 0.0]
12	4.42E-05	3	8	2.502.909.173.965.450	0.102677012	0.036253174	0.574522206	0.715816387	0.357693976	0.663754808	[0.6792702662052817, 0.8047803861151355, 0.0, 0.7347915440523496, 0.8668967469826021, 0.8431986510388698, 0.0, 0.3365351382488479, 0.4726543152237991, 0.08712121212121213, 0.9027818967228715, 0.0, 0.7104614194272538, 0.0, 0.0, 0.0, 0.0, 0.0]
13	4.40E-05	3	8	2.520.355.134.010.310	0.102851247	0.036174816	0.574521543	0.716432295	0.357867134	0.664005874	[0.6786416790629042, 0.8078572601165559, 0.0, 0.7358720632306278, 0.8682997615447352, 0.8442437167078073, 0.0, 0.33796452921904435, 0.46709839985876384, 0.08712121212121213, 0.9015741672542724, 0.0, 0.7129356156818728, 0.0, 0.0, 0.0, 0.0, 0.0]
14	4.95E-05	3	8	25.017.792.510.986.300	0.099616408	0.035665535	0.585805928	0.723951332	0.37494137	0.676105679	[0.6808793415743509, 0.8034195336826916, 0.0, 0.7361637358117878, 0.8723940065884217, 0.8472970029276127, 0.0, 0.47438789489405975, 0.4914423196028548, 0.21789813486370158, 0.9042590704449405, 0.0, 0.7208036169923729, 0.0, 0.0, 0.0, 0.0, 0.0]
15	4.99E-05	3	8	2.521.439.344.882.960	0.099395469	0.035665658	0.586510152	0.724225823	0.37481271	0.676365585	[0.6827095959046265, 0.8088540113497273, 0.0, 0.7337002222198103, 0.8726859841883415, 0.8456187877181385, 0.0, 0.46768984144198605, 0.49480736866320396, 0.21482683982683987, 0.9031939118723323, 0.0, 0.7225422206673272, 0.0, 0.0, 0.0, 0.0, 0.0]
16	4.83E-05	3	4	4.434.244.005.680.080	0.091715524	0.034085513	0.610017223	0.744105016	0.431948945	0.707372628	[0.6913219184100878, 0.8479158575770661, 0.0531438127090301, 0.7476755259059402, 0.8765078745152985, 0.849500362946863, 0.0, 0.5966539644667048, 0.5250195654231739, 0.5902626811594203, 0.9080493455458561, 0.023809523809523808, 0.746768199807978, 0.0, 0.318452380952381, 0.0, 0.0, 0.0]
17	3.73E-05	3	4	44.401.213.097.572.300	0.095026359	0.034320561	0.601789339	0.73814554	0.411781168	0.697299539	[0.6826260152221784, 0.8252410691711499, 0.02823921198643215, 0.736188646485409, 0.8782859648004437, 0.8526750134581549, 0.0, 0.554023954577752, 0.5286739526667364, 0.5430417192807518, 0.9066709128899341, 0.0, 0.7385581302185406, 0.0, 0.13783643892339545, 0.0, 0.0, 0.0]
18	3.66E-05	3	4	4.430.239.968.299.860	0.095291179	0.034242216	0.602024744	0.738584732	0.411232285	0.697456714	[0.6832039199399779, 0.8236294530662109, 0.02823921198643215, 0.7357801425607029, 0.8806985135461513, 0.8543976248519805, 0.0, 0.5557722063260038, 0.5287961734245603, 0.5286564065258739, 0.9043312514350882, 0.0, 0.7408397784817626, 0.0, 0.13783643892339545, 0.0, 0.0, 0.0]
